Country Name,Country Code,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
Indonesia,IDN,1855.09391519178,2160.52760507385,2254.44559199218,3113.48063451433,3634.27680451777,3687.95399645786,3620.66398109522,3491.59588685069,3334.54907484848,3570.28461476538,3846.86432330998,
IDA only,IDX,603.709300423427,716.0600854181,722.804164206204,801.91444905401,885.141962048411,914.887330481483,974.851288692539,1027.79385928358,1009.24972105078,1006.72047891171,1101.30565367983,
Isle of Man,IMN,73153.3237531121,74203.131764586,69172.1860433739,73935.6789952084,76055.5420958002,79028.0449845932,82356.82336654,89941.6442851908,81672.0227049126,,,
India,IND,1018.16637300127,991.484630405176,1090.3177645434,1345.77015320926,1461.67195733892,1446.98540954319,1452.19537323178,1576.00401817673,1606.0382849889,1717.47387802956,1939.61298448814,
Not classified,INX,,,,,,,,,,,,
Ireland,IRL,61359.6450798172,61257.8968902756,52104.0347231169,48671.8882936068,52186.4962698666,49042.3382535461,51773.1113695891,55412.9285967265,61807.6703737555,64100.4299522762,69330.6901544912,
"Iran, Islamic Rep.",IRN,4857.3683712515,5574.41043617837,5619.11762112185,6531.92742967867,7729.34335288421,7832.90263547528,6036.19208799038,5540.98413566175,4862.29972856127,5219.10980489885,5415.20963548702,
Iraq,IRQ,3129.22492225095,4521.03247019802,3735.14483603071,4502.74904825726,5854.61449711212,6651.12241981136,6925.22404568487,6703.07473722928,4974.0269301667,4609.60069352322,5165.71415658829,
Iceland,ISL,68428.3482136071,55632.1043150252,40640.9901952548,41851.7354772988,46181.9529381049,44562.8180240514,48023.626914597,52855.1404780181,51213.6613332843,60529.926756911,70056.8733916213,
Israel,ISR,24889.1683615454,29531.5721632187,27709.1175378506,30642.9406174863,33689.8385335933,32525.9565867323,36291.2321104804,37539.9518166878,35690.9630779526,37180.8498115363,40270.2513460448,
Italy,ITA,37698.7866483976,40640.1838581691,36976.8455340664,35849.3731979401,38334.6838499718,34814.1251168487,35370.2752583755,35396.6657242265,30180.3215146877,30668.9814289997,31952.9759206841,
Jamaica,JAM,4620.51791279229,4902.51203792002,4293.32282231494,4682.52124815387,5103.35609703138,5209.5061889556,5005.59224938734,4855.80048104555,4939.83728131233,4878.57579137263,5109.5526491955,
Jordan,JOR,2762.80635412481,3385.60966483112,3492.13090643818,3679.19027463278,3807.32414491854,3870.75321121669,3992.86710705268,4066.94077543088,4096.09927499826,4087.9375167203,4129.75167119517,
Japan,JPN,35275.2284312667,39339.2975731826,40855.1756354596,44507.6763859172,48167.9972684965,48603.4766497749,40454.4474578903,38109.4121125573,34567.7456750995,38972.3406391468,38428.0973168279,
Kazakhstan,KAZ,6771.41479681885,8513.56464506814,7165.22317483703,9070.48825285747,11634.0019047654,12386.7000029472,13890.6317716835,12807.2606866152,10510.7718884148,7714.84184376024,8837.45730230661,
Kenya,KEN,839.108111670398,916.899251500998,920.081625174945,967.350454885973,987.480909486188,1153.23223070126,1229.1011148993,1335.12326223069,1355.04578833975,1462.50511473103,1507.81486384924,
Kyrgyz Republic,KGZ,721.768690838857,966.393627185372,871.224389337854,880.037775119109,1123.8831680627,1177.97473487848,1282.43716202467,1279.76978265986,1121.08283510739,1120.66651300848,1219.82404838204,
Cambodia,KHM,631.675789036191,745.787787261428,738.232668432632,785.692884137826,882.49014616105,951.111231127353,1013.66595249507,1093.7620674767,1163.18977018231,1269.90723818939,1384.42318730336,
Kiribati,KIR,1357.63221134262,1413.30233951267,1297.28514057002,1493.16051003948,1692.61327703329,1763.81549743152,1724.36173659455,1619.34218182503,1504.71554652944,1587.05814505111,1685.16693853914,
St. Kitts and Nevis,KNA,13538.9285796654,14681.3668353246,14212.3395651282,13704.2544536956,14483.4435058063,13965.558111971,14823.7485920158,15775.8459440106,16178.188891072,16596.8265742987,17090.1523440506,
"Korea, Rep.",KOR,23060.7078836716,20430.6394600807,18291.9195978633,22086.9529193201,24079.788523886,24358.7821758226,25890.0186698906,27811.36638377,27105.076226264,27608.2474287116,29742.8388613471,
Kuwait,KWT,45793.9761439148,55571.9980595751,37567.3012105962,38497.6169579293,48268.5912045543,51264.0713358672,48399.8078177184,42996.3152212942,29109.0687433547,27368.2866787596,29040.3637091117,
Latin America & Caribbean (excluding high income),LAC,6521.57731971816,7487.20464074284,6935.91049886499,8525.51376033142,9499.65713635035,9422.75932195738,9532.87158686608,9714.2081879321,7866.21930402076,7583.3794310616,8313.2268924449,
Lao PDR,LAO,709.767087046745,899.495078724883,948.127642147914,1141.12711507419,1381.42560554543,1588.63314741682,1838.80601992314,2017.58778126205,2159.43315209405,2338.69215683656,2457.37626642597,
Lebanon,LBN,6014.27111539915,7109.46641330459,8480.94550388481,8858.28397743868,8734.18918518532,8922.89675171623,8721.25421524493,8536.68249414692,8452.44364087841,8257.29439052664,8523.74955005489,
Liberia,LBR,210.373329173465,232.061732031702,303.066749083307,327.420509735634,379.68958030469,415.036195795687,454.122223619442,458.465173386609,452.038071650923,455.370741357005,456.053015423383,
